Wavelength1,Absorbance1,Wavelength2,Absorbance2,Wavelength3,Absorbance3
526,23490.6,526,21151.71,526,22798.13
526.5,22881.6,526.5,20603.35,526.5,22207.09
527,22298.85,527,20078.62,527,21641.51
527.5,21718.2,527.5,19555.78,527.5,21077.98
528,21133.35,528,19029.16,528,20510.37
528.5,20562.15,528.5,18514.84,528.5,19956.01
529,20022.45,529,18028.87,529,19432.22
529.5,19535.25,529.5,17590.18,529.5,18959.38
530,19107.9,530,17205.38,530,18544.63
530.5,18716.25,530.5,16852.73,530.5,18164.52
531,18323.55,531,16499.13,531,17783.4
531.5,17910.9,531.5,16127.56,531.5,17382.91
532,17485.65,532,15744.65,532,16970.2
532.5,17081.4,532.5,15380.65,532.5,16577.87
533,16717.05,533,15052.58,533,16224.26
533.5,16384.2,533.5,14752.87,533.5,15901.22
534,16060.8,534,14461.67,534,15587.35
534.5,15736.35,534.5,14169.53,534.5,15272.47
535,15409.8,535,13875.49,535,14955.54
535.5,15101.1,535.5,13597.53,535.5,14655.94
536,14828.1,536,13351.71,536,14390.99
536.5,14578.2,536.5,13126.69,536.5,14148.46
537,14319.9,537,12894.11,537,13897.77
537.5,14025.9,537.5,12629.38,537.5,13612.44
538,13695.15,538,12331.56,538,13291.44
538.5,13357.05,538.5,12027.13,538.5,12963.3
539,13044.15,539,11745.38,539,12659.63
539.5,12763.8,539.5,11492.95,539.5,12387.54
540,12501.3,540,11256.58,540,12132.78
540.5,12234.6,540.5,11016.44,540.5,11873.94
541,11962.65,541,10771.56,541,11610.01
541.5,11710.65,541.5,10544.65,541.5,11365.44
542,11501.7,542,10356.51,542,11162.65
542.5,11327.4,542.5,10199.56,542.5,10993.49
543,11143.65,543,10034.11,543,10815.15
543.5,10918.95,543.5,9831.78,543.5,10597.08
544,10649.1,544,9588.8,544,10335.18
544.5,10359.3,544.5,9327.85,544.5,10053.92
545,10081.05,545,9077.31,545,9783.88
545.5,9830.1,545.5,8851.35,545.5,9540.32
546,9602.25,546,8646.18,546,9319.19
546.5,9370.2,546.5,8437.24,546.5,9093.98
547,9115.05,547,8207.49,547,8846.35
547.5,8824.2,547.5,7945.6,547.5,8564.08
548,8521.8,548,7673.31,548,8270.59
548.5,8248.8,548.5,7427.49,548.5,8005.64
549,8043,549,7242.18,549,7805.9
549.5,7920.15,549.5,7131.56,549.5,7686.68
550,7863.45,550,7080.51,550,7631.65
550.5,7840.35,550.5,7059.71,550.5,7609.23
